  38518;"ohne Titel";"ubmz-14";"Herstellung";"um 1950";"1946";"1954";"0";"";"";"";"39486
";"Frank, Edward (1932-1997)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38519;"Mann im Kahn";"ubmz-14";"Herstellung";"(um 1915)";"1914";"1916";"0";"";"";"";"34931
";"Hoffmann, Werner (1881-1962)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38520;"Enten";"ubmz-14";"Herstellung";"(um 1915)";"1914";"1915";"0";"";"";"";"34930
";"Pottner, Emil (1872-1942)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38521;"Eichen";"ubmz-14";"Herstellung";"(um 1916)";"1915";"1916";"0";"";"";"";"34933
";"Hollenberg, Felix (1868-1945)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38522;"Bildnis des Malers Carlos Grethe (1864-1913)";"ubmz-14";"Herstellung";"(um 1916)";"1915";"1916";"0";"";"";"";"34932
";"Pankok, Bernhard (1872-1943)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38523;"Landschaft";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34945
";"Jansen, Franz Maria (1885-1958)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38524;"Zwei Schulmädel";"ubmz-14";"Herstellung";"(um 1919)";"1918";"1919";"0";"";"";"";"34944
";"Hoelloff, Curt/ Hasenohr, Curt (1887-1987)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38525;"Assenkofer Landschaft";"ubmz-14";"Herstellung";"(um 1919)";"1918";"1919";"0";"";"";"";"34943
";"Kirchner, Eugen (1865-1938)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38526;"Der Aeroplan";"ubmz-14";"Herstellung";"1913";"1913";"1913";"0";"";"";"";"34941
";"Stang, William (1859-1921)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38527;"Venezianisc her Palast";"ubmz-14";"Herstellung";"(um 1914)";"1913";"1914";"0";"";"";"";"34940
";"Paulsen, Ingwer (1883-1943)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38528;"Waldinneres";"ubmz-14";"Herstellung";"(um 1914)";"1913";"1914";"0";"";"";"";"34939
";"Winkler, Eduard (1884-1978)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38529;"Schlafender Bettler";"ubmz-14";"Herstellung";"(um 1914)";"1913";"1914";"0";"";"";"";"34938
";"Wolfsfeld, Erich (1884-1956)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38530;"Fährhaus Uhlenhorst";"ubmz-14";"Herstellung";"(um 1914)";"1913";"1914";"0";"";"";"";"34937
";"Zeising, Walter (1876-1933)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38531;"Im Park";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"34949
";"Partikel, Alfred (1888-1946)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38532;"Baugerüst";"ubmz-14";"Herstellung";"(um 1914)";"1913";"1914";"0";"";"";"";"34936
";"Möller, Otto (1883-1964)
";"4272
";"Herstellung (durch)
";"0
";"";""
